No	cc_id	citation_id	USE	EXTEND	MENTION	NOTALGO	CitationContext
47	118553996	133014011	1	0	0	2	"bour-joining method of Saitou and Nei [15]. Support for internal branching was assessed by bootstrapping with 500 replicates. 3. Results and discussion A cladistic classification of New World monkeys =-=[17]-=- is shown in Table 1. Only those species relevant to the present analysis are shown. Two main families are identified, the Atelidae, which includes the howler monkey, and the Cebidae, which is further"
							
							
							
48	69123530	70066652	0	0	0	3	"e results of this analysis appear to support to a fair degree of accuracy the constituents-with-structure model. We recall that another application of the formalism of Ref. [1] is for nuclei. In Ref. =-=[10]-=-, it is shown that a substantial part of the EMC effect (the A dependence of the nucleon structure functions) can be attributed to the distortion of the constituent wave function inside a nucleon due "
							
							
							
49	69186241	70114122	0	0	0	3	"physics is concerned. However, recent progress in the understanding of the nonperturbative aspects of string theories have opened up the possibility that some of these extra dimensions could be large =-=[11,9]-=- without contradicting observations. In particular, models where some of the extra dimensions have sizes as large as a millimeter and where the string scale is in the few TeV range have attracted a gr"
							
							
							
50	137168155	155984923	0	0	0	3	"et al., 2001; Gaylord et al., 2005; Mangel, 1998; Sladek Nowlis and Roberts, 1999; White et al., 2008). There have been few examples of sitespecific MPA population models (e.g., Little et al., 2007; =-=Stockhausen et al., 2000-=-; see Pelletier and Mahevas, 2005 for a review of MPA models), primarily because of limited information on larval dispersal. From 2004 to 2011, the state of California, USA, underwent a public MPA des"
							
							
							
51	92323997	97869218	0	0	1	2	"may be interpreted with different meanings according to the context of the parties to the conversation.sDrawing from computer science, approaching service systems from a languagesaction perspective (=-=Ing 2008-=-), offerings (Ramirez and Wallin 2000) can be coordinated through commitments (Flores and Ludlow 1980).sSince service systems include both human systems and technology systems, what computers can and "
							
							
							
52	19457372	18269315	0	0	3	0	"ge force is computed using image features detected along each line (e.g. by matched filtering [3]) or they are evaluated in a probabilistic framework using statistical models of the intensity profile =-=[6,8]-=-. Several attempts have also been made to perform shape analysis using multiple cues such as color, texture motion and color information [9,15]. These methods use more information to estimate the mode"
							
							
							
53	30244138	29567716	0	0	3	0	"eshes that are used with the finite element method. A strength of FEM based deformation is that they can handle large deformations. Point-based systems. Some mesh free models have also been developed =-=[17, 19]-=-. These mesh free methods use models composed of points or particles and perform the deformation on these points. Various object properties have been simulated in this way including elastic, plastic a"
							
							
							
54	91168880	96399410	0	2	2	0	"f NDN in an ad-hoc network scenario [7]. Their approach uses flooding of interests. Lee et al. describe a proxybased scheme for increasing efficiency of mobile retrievals as opposed to mobile sources =-=[8]-=-. Ahlgren et al. review how various information-centric architectures handle source mobility [2]. Similar to the approaches in NetInf and PSIRP, our home repository effectively is a rendezvous point f"
							
							
							
							
55	28967351	28259113	2	0	0	1	"identify major factors affecting mechanical behavior of CNTs and to explain or predict new physical phenomena. Elastic shell models have been effectively used to study mechanical deformation of CNTs =-=[1, 2]-=-, especially buckling of CNTs under axial compression [3-5], bending [6, 4], radial pressure [7], or combined loadings [8]. The potential of using multi-walled carbon nanotubes (MWCNTs) in practical n"
							
							
							
56	75908462	77757837	1	0	0	2	"chemical, physical, and bioassay methods. The fine particles were extracted with an organic solvent and the resulting extracts were assayed in the Ames Salmonella mutagenesis bioassay. This approach =-=[120,232]-=- used the availability of source tracers whose ambient concentrations are measured simultaneously with the pollutant of interest (e.g., mass of POM and mutagenicity). The key chemical tracer species u"
							
							
							
57	3423389	3322906	0	2	1	0	"e global controllers can be realised assnite dimensional controllers since only asnite number of adaptive estimates are updated, (the number of updates is dependent on the uncertainty level), see eg. =-=[8]-=-. The essential restriction we impose on the approximator class is that higher resolution models are generated by extending the basis function set. Thus function approximators based on series expansio"
							
							
							
58	3202917	3090828	0	2	1	0	"In order for a unique solution to exist, H must be positive definite. The bias b can be either fixed or optimized together with the parameters . This case introduces another set of constraints:sy = 0 =-=[4]-=-. The quadratic programming problem thus defined can be solved eciently by standard numerical methods [10]. Numerical computation can be further reduced by processing iteratively small chunks of data "
							
							
							
59	61197506	61937843	0	3	0	0	"among physicists. Subsequently, Laloux et al. (2000) proposed a filtering method based on random matrix theory (RMT). This has been further developed and refined by many workers (Plerou et al., 2002; =-=Burda et al., 2004-=-; Papp et al., 2005) 2.5 The eigenvalue spectrum of Wishart matrices In order to understand the essence of the proposed filtering procedure, we have to recall a few elementary facts about random matri"
							
							
							
60	34654953	34723130	0	0	3	0	"ess but also type correctness for SQL queries constructed by Java programs. However, type correctness does not imply safety, which is the focus of our analysis. 5.2 Dynamic Techniques Scott and Sharp =-=[15]-=- propose an application-level firewall to centralize sanitization of client input. Firewall products are also commercially available from companies such as NetContinuum, Imperva, Watchfire, etc. Some "
							
							
							
61	50979368	51145864	0	0	0	3	"ting plasma membrane (3, 14, 19, 34, 41, 49) and lysosomes (1, 16, 17, 28, 39) as well as the intermediate compartments, which include coated vesicles (13, 31, 40) and a variety of endosomal elements =-=(4, 12, 25, 35)-=-, have been described. However, because of the pleiomorphic form of the compartments that make up the system no single approach has thus far successfully isolated all of the boundaries from a single p"
							
							
							
62	30752563	30045150	1	0	1	1	"potentially over multiple hops; a small fraction of those access routers are wired to the Internet and serve as Internet gateways for the rest of the network. Mesh networks based on commodity 802.11 =-=[1]-=- hardware and employing self-configuring ad hoc networking techniques can offer wider coverage with less expense and easier deployment. Furthermore, inherent redundancy in the mesh topology enhances r"
							
							
							
63	137470515	156315029	0	0	0	3	"ivisor if st = 0 for some 0 = t ? S. An element a ? S is a non-zero-divisor if it is not a zero-divisor, i.e., if a? = 0. The following result is basic in our approach. Theorem 1.5 (see Theorem 2.13 =-=[2]-=-). For every m-prime filter I a relation ?I ?x, y ? S : x ?= y ?? ?s /? I : x ? ys & y ? xs defines a congruence whose factor S? = S/?I is a naturally totally ordered Bsemigroup, and the congruence cl"
							
							
							
64	89732558	94550280	0	4	0	0	"exogenous inputs, in order to avoid the issues related to the indistinguishability due to the small amplitude of the disturbances. However, in applications such as fault detection [1], [2], [3], [4], =-=[5]-=-, identification of hybrid systems [6], [7], and multiple-model adaptive control [8], [9], [10], it suffices to guarantee that we can identify the family of systems to which the true plant belongs, am"
							
							
							
							
65	17083612	15965992	0	0	1	2	", regular topologies are not very realistic either. If we pay attention to the topology of real networks, we will find out that most of them have a very particular topology: they are complex networks =-=[2, 4, 23, 6, 10, 12, 31]-=- with non2strivial wiring schemes. Notice that one of the possible environments for a MAS, the Internet, is among the most prominent complex networks found in the real world. Complex networks are well"
							
							
							
66	74669187	76335789	1	2	0	0	"thm [4]. Plane sweeping provides a simple and efficient way to reconstruct a depth map using any number of images and their camera poses as the input. The algorithm is suitable for GPU implementation =-=[24]-=- and has been used for dense 3D reconstruction from vehicle-mounted cameras [6, 15]. In our implementation, we define a set of front-parallel planes with depths di(i = 1,...,D) in the coordinate syste"
							
							
							
67	3694218	3580804	1	1	1	0	"Pareto distribution [19, p. 361] P(C_> L) , (1) where A is a constant depending on the sequential decoding algorithm used, and p is the Pareto exponent. The Pareto exponent is found from (see [19] or =-=[20]-=-) R- E0(p) (2) p where R is the code rate and Eo(p) is the Gallager function, given by (see e.g. [20 22])s1 Eo(p) = -log2 P(k)P(rlk)+ , r:0 (3) where q is the number of input levels and Q is the numbe"
							
							
							
68	62876948	63813642	1	2	0	0	"le and female subjects. In a similar spirit, Bookstein et al. used deformation maps based on thin-plate splines to study the shape variability in patients with schizophrenia and normal controls [30], =-=[31]-=-. C. Contribution of This Paper In [32], we described an automated way in which correspondences between the surfaces of different shapes are established via a nonrigid registration algorithm [33]. A s"
							
							
							
69	7899347	7551445	0	4	0	0	"ame capacity loss; and (5) capacity unused by one flow should be distributed ""fairly"" among other flows. While several of our principles (1, 4, and 5) are similar to those used in other proj=-=ects [7], [8]-=-, the principles dealing with capacity loss (2 and 3) are unique. These two principles will guide our design of a new scheduler model that will allow intuitive control over the effect of capacity loss"
							
							
							
							
70	32697212	32280573	0	0	3	0	"ong people or animals that may be difficult to reproduce. The nurturing value of videos is introduced through the impact on motivation or attitudes. Motivation has been linked to attention variables (=-=Choi & Johnson, 2005-=-) and has also been woven into an integrated model of multimedia learning (Astleitner & Wiesner, 2004). 217TCC 2008 Proceedings The experiential value described by Kuomi (2006) suggests a role for vi"
							
							
							
71	31071143	30344862	0	0	3	0	"or ? = 1/2. The slow convergence visible here is the reason one needs codes with large block lengths. Comprehensive tables and construction techniques for binary constant weight codes can be found in =-=[2]-=- and the references therein. However, the problem of finding efficient encoding and decoding algorithms has received considerably less attention. We briefly discuss two previous methods that are relev"
							
							
							
72	118428274	132848991	1	0	0	2	"rted (1, 2, 3, 4, 13, 16, 20). The human rotavirus G12 strains (L26 and L27) were first detected from Philippines in 1990 (19). After more than a decade, in 2002, human G12 strains Se585 (9) and T152 =-=(15)-=- from the United States and Thailand, respectively, were reported. In this study, we report the detection of three rare G12 strains of human rotaviruses in India. As part of a routine surveillance stu"
							
							
							
73	28893905	28186899	0	2	1	0	"id approach, which makes use of a fixed simplicial mesh and of different approximation levels, each of them associated with a different polynomial degree. For the QSEM this was initially suggested in =-=[18, 23, 24]-=- and recently used in conjunction with Overlapping Schwarz preconditioners forR. Pasquetti and F. Rapetti / Commun. Comput. Phys., 5 (2009), pp. 667-682 669 Computational Fluid Dynamics (CFD) purpose"
							
							
							
74	1156824	1083934	0	4	0	0	"research area for the last two decades. The current approaches to garbage collection focus on locality-aware garbage collection (e.g., [5]), concurrent and hardware-assisted garbage collection (e.g., =-=[11]-=-), and garbage collection for Java among others. A comprehensive discussion of different garbage collection mechanisms can be found in [13]. All these techniques are geared towards improving performan"
							
							
							
							
75	8735310	8304487	0	0	3	0	"h n +m-SAT-graph G, can we compute in a polynomial time an independent set of size k=(1+ "") in G, where k is the size of the maximum independent set of G? Papadimitriou and Yannakakis [18] (see a=-=lso, [13, 2]) hav-=-e proved the following result (note that their original result is for general graphs though their proof is for n +m-SAT-graphs). Definition 5. For a rational number "" ? 0, an algorithm is said to"
							
							
							
76	69828851	70664656	0	0	0	3	"rivation. Such cell and synapse-specific changes have been well documented in the visual and somatosensory cortices, where deprivation causes localized changes within the arbor of specific cell types =-=[36, 62, 65, 66]-=-. To address this issue we assayed the density of excitatory postsynaptic puncta in layers 2/3 and 4. While this approach does not provide synapse identity and morphological information, it does give "
							
							
							
77	77004179	79045840	3	0	0	0	"a purely linear, feature-bundle approach modeled on Chomsky and Halle (1968; henceforth SPE). To this we will add the concepts of autosegmental tier (Goldsmith 1979) and metrical grid (Liberman 1975, =-=Prince 1983-=-), showing that both make possible modes of phonotactic learning that are unreachable by the linear baseline model.Hayes/Wilson Maximum Entropy Phonotactics p. 4 2.3 Accounting for gradience All area"
							
							
							
78	20261275	19064370	0	0	0	4	"that students can examine them while doing the exercise or the test. Incorporating assessment into students' learning process, possibly at its beginning, is an aspect consistent with constructivism (=-=Lajoie & Lesgold, 1992-=-; Wilson et al., 1995). "
							
							
							
							
79	93900	94178	0	0	3	0	"liferation of proposals for additional features, new operators and additional parameters in an attempt to create a stable and predictable machine learning algorithm (for example, see the ALECSYS LCS (=-=[28]-=- and CFS-C [95] in addition to the approaches described above). Rather than provide solutions, this increased complexity often led to greater parameterisation tension and increasedsfragility. In react"
							
							
							
80	137031382	155833361	0	0	2	2	"ions that constitute the basis of the traditional approaches to pattern recognition described in the wellknown textbooks by Fukunaga [27], Duda, Hart and Stork [17], Devijver and Kittler [16], Ripley =-=[53]-=-, Bishop [7],Webb [60] and Theodorides [56]. We want to point out that although the pairwise dissimilarity representation presented here is different in its foundation from the feature-based represent"
							
							
							
							
81	52441123	52891445	0	0	1	2	", E-RoSH cell lines was used for this study [3,4]. The rate of cell division before and after induction of differentiation was determined by prelabeling cells with cell-permeable CFDA fluorescent dye =-=[7]-=- and the cells were then plated on either gelatin or matrigel. The rate of cell division was calculated as a function of the loss in cellular fluorescence during a 24 hour period (see method). Undiffe"
							
							
							
82	25175498	24282071	0	0	3	0	"knowledge-order. As such it has the structure of a bilattice, a term due to Ginsberg (Ginsberg 1986), who was the first to note the importance of bilattices for inference in artificial intelligence (=-=Ginsberg 1992-=-).sUniform LP semantics 25 This general approach was imported into logic programming theory by Fitting (Fitting 1991a). Although multi-valued logics had been used for logic programming semantics befor"
							
							
							
83	87717593	91955953	0	0	0	3	"ence is ""a type of social intelligence thatsinvolves the ability to monitor one's own and others'semotions, to discriminate among them, and to use thesinformation to guide one's thinking and actions"" =-=[8]-=-.sEmotional Intelligence can be measured, ranging fromsfeelings of boredom to feelings of happiness andseuphoria, from hostility to fondness.sTable 1. Four-Branch Model of EmotionalsIntelligence from "
							
							
							
